,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,1
541,1
542,0
543,0
544,1
545,1
546,0
547,0
548,1
549,0
550,0
551,0
552,0
553,1
554,1
555,0
556,0
557,0
558,0
559,0
560,0
561,1
562,1
563,1
564,0
565,0
566,1
567,1
568,0
569,1
570,1
571,1
572,1
573,0
574,1
575,0
576,1
577,1
578,1
579,0
580,1
581,0
582,0
583,1
584,0
585,0
586,1
587,1
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,1
598,0
599,0
600,0
601,1
602,0
603,0
604,1
605,0
606,0
607,0
608,0
609,0
610,1
611,0
612,0
613,0
614,0
615,1
616,1
617,0
618,1
619,0
620,1
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,1
631,0
632,1
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,1
642,1
643,0
644,0
645,1
646,0
647,1
648,0
649,0
650,1
651,1
652,1
653,0
654,0
655,1
656,1
657,1
658,0
659,0
660,0
661,0
662,1
663,0
664,0
665,1
666,0
667,0
668,0
669,0
670,1
671,0
672,0
673,1
674,0
675,0
676,0
677,0
678,1
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,1
691,0
692,1
693,0
694,1
695,1
696,1
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,1
706,0
707,1
708,0
709,1
710,0
711,1
712,1
713,0
714,0
715,1
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,1
725,0
726,0
727,1
728,1
729,1
730,1
731,0
732,0
733,0
734,1
735,0
736,1
737,0
738,0
739,1
740,1
741,0
742,0
743,1
744,1
745,0
746,0
747,0
748,0
749,0
750,0
751,1
752,0
753,0
754,1
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,1
763,0
764,1
765,0
766,1
767,0
768,1
769,0
770,1
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,1
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,1
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,1
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,1
843,0
844,0
845,1
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,1
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,1
888,0
889,1
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,1
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
