,0
813,0
814,0
815,0
816,1
817,1
818,0
819,0
820,1
821,1
822,1
823,1
824,0
825,1
826,1
827,1
828,0
829,0
830,0
831,1
832,0
833,0
834,1
835,1
836,1
837,0
838,1
839,1
840,1
841,0
842,1
843,0
844,0
845,1
846,1
847,1
848,1
849,0
850,0
851,1
852,0
853,1
854,1
855,0
856,0
857,1
858,0
859,1
860,1
861,1
862,0
863,0
864,1
865,0
866,0
867,1
868,1
869,1
870,0
871,0
872,1
873,0
874,1
875,1
876,1
877,1
878,1
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,1
887,0
888,1
889,1
890,1
891,1
892,0
893,1
894,0
895,0
896,0
897,0
898,0
899,0
900,1
901,1
902,1
903,1
904,0
905,0
906,0
907,1
908,1
909,0
910,0
911,1
912,0
913,1
